Fish ID	Collection Date	Year	Location	Period	TL (mm)	Otolith D (um)	Peak Number	peak time 	"peak quality (excellent, good, poor, terrible, unusable)"	3core	Mg	Mn	Fe	Cu	Sr	Cd	Ba	Sn	Pb	U
PADE08_025	1/16/08	2008	Roosevelt	Late	16	245	1	0.22	good		0.004100111	0.016560390	0.002679224	0.000194748	2.806600712	0.000001226	0.006507609	0.000449166	0.000000204	0.000000000
PADE08_024	1/16/08	2008	Roosevelt	Late	17	200	1	0.15	good		0.002138207	0.004389359	0.014054923	0.003692142	3.256791227	0.000001699	0.013231915	0.000740347	0.000000076	0.000000380
PADE08_026	1/16/08	2008	Roosevelt	Late	18	276	1	0.66	excellent		0.002276724	0.010837905	0.005501738	0.000069479	3.011298048	0.000003619	0.006047377	0.000437272	0.000000000	0.000000231
PADE08_030	2/22/08	2008	Roosevelt	Late	15	213	1	0.65	excellent		0.002001766	0.006988496	0.002923287	0.000168142	3.357474538	0.000000000	0.008768956	0.000368701	0.000000882	0.000000176
PADE08_027	2/22/08	2008	Roosevelt	Late	16	202	1	0.64	excellent		0.001533266	0.017159480	0.002734887	0.000188699	4.076617642	0.000000071	0.009595034	0.000447966	0.000000212	0.000000000
PADE08_028	2/22/08	2008	Roosevelt	Late	16	224	1	0.64	excellent		0.001724743	0.013138060	0.004355703	0.000134912	3.567886533	0.000003049	0.014770217	0.000443360	0.000000416	0.000000416
PADE08_029	2/22/08	2008	Roosevelt	Late	16	166	1	0.42	good		0.001918224	0.011707543	0.004443624	0.000238563	3.045417649	0.000000000	0.005975122	0.000420606	0.000000199	0.000000199
PADE08_033	3/10/08	2008	Roosevelt	Late	14	171	1	0.56	excellent		0.002061364	0.002264702	0.007759719	0.000473370	3.582032238	0.000002390	0.009127282	0.000372625	0.000000287	0.000000574
PADE08_031	3/10/08	2008	Roosevelt	Late	15	245	1	0.55	excellent		0.001541987	0.013535899	0.003542493	0.000214317	3.616771846	0.000001134	0.005776976	0.000395230	0.000000000	0.000000179
PADE08_032	3/10/08	2008	Roosevelt	Late	15	235	1	0.67	excellent		0.001268884	0.015910020	0.006112326	0.000212512	3.412339540	0.000003542	0.008006231	0.000406756	0.000000197	0.000000000
PADE08_034	10/29/08	2008	Roosevelt	Late	14	276	1	0.35	good		0.009269201	0.013362792	0.004876320	0.000548734	2.686191968	0.000002760	0.002618673	0.000394827	0.000000394	0.000000591
PADE08_038	11/24/08	2008	Roosevelt	Late	12	231	1	0.77	excellent		0.003375030	0.006754610	0.003038535	0.000318802	3.485266231	0.000001397	0.005204872	0.000345031	0.000000221	0.000000000
PADE08_037	11/24/08	2008	Roosevelt	Late	14	224	1	0.38	good		0.001648921	0.004596833	0.000000000	0.000168666	2.627755928	0.000000334	0.001473282	0.000432204	0.000000000	0.000000000
PADE08_039	11/24/08	2008	Roosevelt	Late	14	211	1	0.30	good		0.010501853	0.005428774	0.002104482	0.000463877	2.743492413	0.000001752	0.004973627	0.000389317	0.000000420	0.000000210
PADE08_042	11/24/08	2008	Roosevelt	Late	14	247	2	0.74	excellent		0.004214330	0.007277820	0.000423725	0.000227930	3.445513353	0.000000000	0.006126871	0.000364970	0.000000000	0.000000000
PADE08_040	11/24/08	2008	Roosevelt	Late	16	255	2	0.69	good		0.003054827	0.019436040	0.000000000	0.000291374	3.220915039	0.000001262	0.007849110	0.000364301	0.000000000	0.000000000
PADE08_043	12/10/08	2008	Roosevelt	Late	13	229	1	0.73	excellent		0.002376498	0.028185509	0.005048310	0.000360637	3.379359200	0.000003352	0.008414829	0.000819252	0.000000428	0.000000000
PADE09_028	1/14/09	2009	Roosevelt	Late	15	215	1	0.65	good		0.001200547	0.020781353	0.003927788	0.000138914	2.924374581	0.000001063	0.005666528	0.000515286	0.000000425	0.000000213
PADE09_029	1/14/09	2009	Roosevelt	Late	16	164	1	0.42	good		0.001347134	0.007713721	0.004269898	0.000196159	3.495487552	0.000005404	0.005483287	0.000329977	0.000000000	0.000000184
PADE09_027	1/14/09	2009	Roosevelt	Late	17	197	1	0.36	good		0.001292336	0.005873396	0.000000000	0.000221279	3.140005136	0.000000000	0.004859817	0.000542258	0.000000179	0.000000000
PADE09_033	2/11/09	2009	Roosevelt	Late	16	194	1	0.67	excellent		0.001361708	0.018958625	0.004359936	0.000090807	3.346884243	0.000001334	0.005896637	0.000358380	0.000000191	0.000000000
PADE09_030	2/11/09	2009	Roosevelt	Late	17	178	1	0.55	excellent		0.001254998	0.008697285	0.002161915	0.000081585	3.191709416	0.000000513	0.004462182	0.000304308	0.000000000	0.000000000
PADE09_031	2/11/09	2009	Roosevelt	Late	17	189	1	0.64	excellent		0.001405190	0.016147773	0.003292496	0.000135003	3.373847882	0.000003221	0.006021994	0.000331320	0.000000172	0.000000000
PADE09_032	2/11/09	2009	Roosevelt	Late	17	164	1	0.29	excellent		0.005670430	0.008848877	0.001622297	0.000210341	3.720780979	0.000001623	0.007186381	0.000329473	0.000000761	0.000000304
PADE09_034	2/11/09	2009	Roosevelt	Late	17	195	1	0.59	excellent		0.001191302	0.008796208	0.002813265	0.000146658	3.408341365	0.000000242	0.004902115	0.000370708	0.000000000	0.000000358
PADE09_035	3/16/09	2009	Roosevelt	Late	15	199	1	0.67	excellent		0.003181727	0.008729484	0.004300921	0.000222776	3.735154706	0.000001443	0.005297510	0.000368192	0.000000058	0.000000000
PADE09_036	3/16/09	2009	Roosevelt	Late	16	125	1	0.41	excellent		0.001170778	0.007623898	0.002334240	0.000177978	3.438952638	0.000002075	0.004502254	0.000313131	0.000000519	0.000000000
PADE09_037	3/16/09	2009	Roosevelt	Late	16	153	1	0.50	excellent		0.001418784	0.018825085	0.000096352	0.000204927	3.870807317	0.000002101	0.006866221	0.000374981	0.000000157	0.000000157
