"Fish.ID"	"Collection.Date"	"Year"	"Location"	"Period"	"TL..mm."	"Otolith.D..um."	"Peak.Number"	"peak.time"	"peak.quality..excellent..good..poor..terrible..unusable."	"X3core"	"Mg"	"Mn"	"Fe"	"Cu"	"Sr"	"Cd"	"Ba"	"Sn"	"Pb"	"U"
"PADE09_043"	"11/18/09"	2009	"Roosevelt"	"Late"	13	175	2	0.76	"excellent"	NA	0.002699922	0.011543918	0.005053531	0.000230279	3.673496588	6.4e-08	0.007353433	0.00045855	9.15693747578189e-09	4.03e-07
"PADE09_044"	"11/18/09"	2009	"Roosevelt"	"Late"	13	134	1	0.7	"excellent"	NA	0.001209579	0.011137163	0.001167417	0.000252205	3.316818976	1.29616388026625e-09	0.005680797	0.000449156	3.52e-07	3.27265194430947e-08
"PADE09_042"	"11/18/09"	2009	"Roosevelt"	"Late"	15	237	2	0.69	"excellent"	NA	0.002232768	0.011044899	0.005989444	0.000155039	3.280330638	1.398e-06	0.008970746	0.000440501	2.21e-07	6.62e-07
"PADE09_048"	"12/14/09"	2009	"Roosevelt"	"Late"	14	185	2	0.73	"good"	NA	0.010392363	0.00544789	9.3635068929079e-07	0.000227752	3.373061181	1.393e-06	0.006703347	0.000638738	2.09e-07	4.12650929996744e-08
"PADE09_047"	"12/14/09"	2009	"Roosevelt"	"Late"	16	201	1	0.67	"excellent"	NA	0.00327626	0.009413446	0.000566455	0.000232517	3.494435261	2.749e-06	0.011375651	0.000631489	2.06e-07	2.06e-07
"PADE10_013"	"1/18/10"	2010	"Roosevelt"	"Late"	16	187	1	0.69	"excellent"	NA	0.001562107	0.005550762	5.82136676133377e-07	7.7841e-05	3.275462906	4.4e-07	0.018425291	0.000758923	3.77e-07	6.06526883784681e-09
"PADE10_014"	"1/18/10"	2010	"Roosevelt"	"Late"	16	212	1	0.77	"excellent"	NA	0.001553662	0.008618414	0.000751892	0.000184965	3.135085903	1.53e-06	0.005591915	0.000343258	2.36277264242526e-08	2.18e-07
"PADE10_015"	"1/18/10"	2010	"Roosevelt"	"Late"	18	235	1	0.7	"good"	NA	0.00261289	0.005399736	8.61517780816648e-07	0.000343773	3.42222612	1.816e-06	0.008294491	0.000334992	1.20100575294346e-08	2.17e-07
"PADE10_016"	"2/4/10"	2010	"Roosevelt"	"Late"	15	199	1	0.73	"good"	NA	0.002607533	0.007496244	0.004037723	9.536e-05	3.246276928	2.97550910059363e-09	0.007595856	0.000303147	1.17692926602904e-08	3.15116888238117e-08
"PADE10_017"	"3/29/10"	2010	"Roosevelt"	"Late"	16	182	2	0.81	"excellent"	NA	0.001253403	0.008953103	0.002289929	0.000144801	3.544347919	2.313e-06	0.006719103	0.000337622	7.04632632387802e-09	1.59731883415952e-08
"PADE90_013"	"4/6/90"	1990	"RUMFS"	"Early"	11	150	2	0.39	"excellent"	NA	0.003493094	0.016224279	0.000161254	0.000161089	3.24474212	1.6529e-05	0.006391188	0.00041679	3.2244065310806e-10	5.70521454513073e-08
"PADE90_016"	"4/6/90"	1990	"RUMFS"	"Early"	13	238	1	0.63	"excellent"	NA	0.00898824	0.012622315	0.001474997	0.000303518	3.427867547	1.2373e-05	0.00523558	0.000388445	1.59980099312961e-08	4.94996063411236e-08
"PADE91_007"	"11/26/91"	1991	"RUMFS"	"Early"	15	145	1	0.8	"good"	NA	0.00991828	0.0105991	0.005310852	0.000461379	3.196145217	2.0666e-05	0.008804452	0.00038957	2.89653000296094e-08	2e-07
"PADE92_002"	"2/6/92"	1992	"RUMFS"	"Early"	13	178	1	0.52	"excellent"	NA	0.004959416	0.011271115	0.003716382	0.000179961	3.621508654	1.193e-06	0.010433875	0.000333539	1.88e-07	1.88e-07
"PADE92_001"	"2/6/92"	1992	"RUMFS"	"Early"	14	151	1	0.72	"excellent"	NA	0.003534085	0.026830199	0.004306507	0.000161485	3.495350518	2.03433987218887e-09	0.008206934	0.000367339	2.1e-07	2.1e-07
"PADE92_003"	"2/6/92"	1992	"RUMFS"	"Early"	15	170	1	0.65	"excellent"	NA	0.001442294	0.007225456	0.003331803	0.000230315	3.41556092	2.866e-06	0.008486487	0.000349563	3.91e-07	5.64042038004845e-08
"PADE92_004"	"12/28/92"	1992	"RUMFS"	"Early"	15	194	1	0.67	"excellent"	NA	0.002728042	0.010172063	0.006016846	0.000143054	3.087256128	2.839e-06	0.006747667	0.000351451	3.26034947535954e-08	5.53800483746454e-08
"PADE98_001"	"1/21/98"	1998	"RUMFS"	"Mid"	14	131	1	0.59	"excellent"	NA	0.000789517	0.007140324	6.91459033655701e-07	0.000148362	3.393042216	7.2e-07	0.007686001	0.000193435	3.2e-07	3.06449204497039e-08
"PADE98_003"	"2/2/98"	1998	"RUMFS"	"Mid"	19	195	1	0.23	"good"	NA	0.002299418	0.006106585	1.31775900180708e-06	0.00017672	3.14496956	2.062e-06	0.01221932	0.000217871	1.55e-07	1.55e-07
"PADE98_004"	"2/16/98"	1998	"RUMFS"	"Mid"	16	192	1	0.35	"excellent"	NA	0.00675256	0.012849363	0.001261007	0.000227086	3.22623271	2.312e-06	0.008303948	0.000202464	1.69e-07	1.69e-07
"PADE98_006"	"11/17/98"	1998	"RUMFS"	"Mid"	14	180	1	0.26	"excellent"	NA	0.001199049	0.01333256	1.02793494425248e-06	0.000144737	2.709833268	8.27e-07	0.008684898	0.000190507	9.76761145354248e-09	1.55e-07
"PADE98_008"	"11/24/98"	1998	"RUMFS"	"Mid"	14	130	2	0.82	"excellent"	NA	0.001861565	0.006645278	0.002203629	0.000126707	2.551519941	3.864e-06	0.005493107	0.000182177	1.73e-07	3.46e-07
"PADE98_007"	"11/24/98"	1998	"RUMFS"	"Mid"	15	176	1	0.29	"excellent"	NA	0.001671697	0.018853026	0.001032512	0.00016939	2.649902137	2.382e-06	0.006804588	0.000187616	3.31725229974836e-08	3.17e-07
"PADE98_009"	"11/30/98"	1998	"RUMFS"	"Mid"	16	166	1	0.19	"good"	NA	0.001093246	0.006743227	0.000529026	0.000116013	2.69505568	2.488e-06	0.016658171	0.000175501	1.41e-07	2.81e-07
"PADE99_001"	"1/25/99"	1999	"RUMFS"	"Mid"	15	199	1	0.15	"good"	NA	0.003714509	0.007429689	0.000628374	0.000381784	3.010275872	3.726e-06	0.005460763	0.000158285	1.92837544677313e-08	5.74030298134312e-08
"PADE99_003"	"10/27/99"	1999	"RUMFS"	"Mid"	14	139	1	0.5	"good"	NA	0.0063358	0.016070323	3.39146036472637e-07	0.000151559	2.747888568	1.116e-06	0.004344218	0.000205189	1.63056914736517e-08	5.04e-07
"PADE00_001"	"3/27/00"	2000	"RUMFS"	"Mid"	16	110	1	0.53	"excellent"	NA	0.000924229	0.009211447	1.12851688991697e-06	0.00010859	3.278264808	5.27e-07	0.006474787	0.000273643	1.76e-07	3.51e-07
"PADE00_003"	"10/17/00"	2000	"RUMFS"	"Mid"	15	189	1	0.35	"good"	NA	0.003233747	0.021537091	0.001127974	0.000134212	3.012913532	2.58e-06	0.01345593	0.000230763	1.79747633377556e-08	2.22300179768354e-09
"PADE00_002"	"10/17/00"	2000	"RUMFS"	"Mid"	17	176	1	0.68	"good"	NA	0.004780302	0.008941311	0.002733415	6.7069e-05	2.739100134	6e-08	0.010552321	0.000217758	5.41e-07	1.8e-07
"PADE00_005"	"11/21/00"	2000	"RUMFS"	"Mid"	13	146	1	0.64	"good"	NA	0.002086509	0.007828418	0.000676623	0.000157533	3.316806919	2.492e-06	0.010738525	0.000221375	1.78e-07	5.33054848993197e-08
"PADE00_006"	"11/21/00"	2000	"RUMFS"	"Mid"	15	175	2	0.81	"excellent"	NA	0.007042132	0.010313718	0.004210484	0.000152464	3.454327114	1.702e-06	0.011950242	0.000178751	4.24e-07	4.24e-07
"PADE00_008"	"12/13/00"	2000	"RUMFS"	"Mid"	17	142	1	0.32	"good"	NA	0.0013207	0.010616187	0.001378962	5.6605e-05	3.512817899	3.034e-06	0.009888451	0.000232078	1.75e-07	1.75e-07
"PADE01_001"	"1/24/01"	2001	"RUMFS"	"Mid"	15	154	1	0.55	"excellent"	NA	0.001376283	0.013765808	3.8335e-05	0.000145085	3.379606492	1.685e-06	0.009248493	0.000208635	3.3207489338005e-08	5.91106763575226e-08
"PADE01_002"	"1/24/01"	2001	"RUMFS"	"Mid"	17	163	1	0.61	"excellent"	NA	0.003154947	0.016566384	0.002065377	0.000121903	3.352158196	2.994e-06	0.013929459	0.00019541	3.52e-07	1.76e-07
"PADE01_003"	"1/30/01"	2001	"RUMFS"	"Mid"	13	175	1	0.14	"excellent"	NA	0.001647551	0.007523553	1.3321e-05	0.000178007	3.263016968	1.971e-06	0.006692291	0.00017279	9.19605020619929e-09	2.96e-07
"PADE01_004"	"1/30/01"	2001	"RUMFS"	"Mid"	16	176	2	0.44	"good"	NA	0.001123508	0.005204282	0.001286868	0.000115322	2.999282958	3.92532361671329e-09	0.010087529	0.000217227	8.21861851634458e-09	5.36e-07
"PADE01_005"	"1/30/01"	2001	"RUMFS"	"Mid"	18	169	1	0.69	"excellent"	NA	0.001195162	0.025174281	0.001406949	0.000144503	3.401709247	1.492e-06	0.007274734	0.000190362	1.66e-07	4.98e-07
"PADE01_006"	"2/6/01"	2001	"RUMFS"	"Mid"	15	130	1	0.69	"good"	NA	0.000899613	0.005945962	0.001596723	0.000139073	3.169235002	2.059e-06	0.006201183	0.000191377	1.72e-07	7.44325258769095e-09
"PADE01_007"	"2/6/01"	2001	"RUMFS"	"Mid"	17	155	1	0.33	"good"	NA	0.0021336	0.006034299	0.002282127	0.000134024	2.791569156	2.874e-06	0.008600321	0.000178219	2.34224187000655e-08	4.15816168813035e-08
"PADE01_008"	"2/14/01"	2001	"RUMFS"	"Mid"	14	116	1	0.35	"excellent"	NA	0.000940931	0.007027947	0.000801285	0.000118668	3.87754308	4.25e-07	0.007908795	0.000168592	1.27266881768592e-08	3.19e-07
"PADE01_009"	"2/14/01"	2001	"RUMFS"	"Mid"	15	147	1	0.35	"good"	NA	0.000763432	0.002059571	0.000887123	4.8568e-05	2.850715944	3.126e-06	0.005452243	0.000192114	1.84e-07	1.84e-07
"PADE01_012"	"2/26/01"	2001	"RUMFS"	"Mid"	16	111	1	0.78	"good"	NA	0.000856787	0.006456333	0.002206282	0.000160714	2.815686127	1.514e-06	0.010369824	0.000170044	1.81e-07	1.81e-07
"PADE01_013"	"3/14/01"	2001	"RUMFS"	"Mid"	15	157	1	0.44	"good"	NA	0.001164634	0.007887423	0.001037338	0.000120614	3.503344926	5.14803271740675e-10	0.01598369	0.000183749	3.57e-07	6.40532903373241e-09
"PADE01_014"	"3/19/01"	2001	"RUMFS"	"Mid"	15	118	1	0.67	"excellent"	NA	0.001946276	0.00276246	1.72692458184902e-07	2.83880899848223e-05	3.349325486	2.92030574753881e-09	0.015915468	0.000584851	4.49e-07	2.93700751522556e-08
"PADE01_015"	"3/19/01"	2001	"RUMFS"	"Mid"	15	95	1	0.24	"good"	NA	0.013176578	0.008098778	6.9467509265407e-07	0.000202276	3.217223975	3.818e-06	0.011816228	0.000446009	4.87789036240429e-10	4.35055775893852e-08
"PADE02_001"	"10/15/02"	2002	"RUMFS"	"Mid"	15	167	2	0.67	"excellent"	NA	0.014744052	0.015902692	0.007052875	2.9437e-05	2.562515486	5.494e-06	0.005231776	0.00043727	3.30031796672847e-08	4.11e-07
"PADE02_004"	"11/19/02"	2002	"RUMFS"	"Mid"	15	187	2	0.81	"good"	NA	0.019658914	0.009303207	1.42958661851939e-07	0.000156552	2.36535345	4.496e-06	0.004791749	0.000399986	3.8846135828644e-08	1.33865547319874e-08
"PADE02_008"	"12/18/02"	2002	"RUMFS"	"Mid"	15	155	1	0.72	"excellent"	NA	0.001709085	0.016056466	0.003547897	0.000191874	3.091195033	1.025e-06	0.00587639	0.000314207	1.92e-07	2.24983273213729e-08
"PADE02_009"	"12/18/02"	2002	"RUMFS"	"Mid"	15	176	2	0.67	"good"	NA	0.001828982	0.008925889	0.000980344	0.000239581	3.308877727	2.309e-06	0.007730937	0.00071407	2.16e-07	4.33e-07
"PADE08_012"	"1/21/08"	2008	"RUMFS"	"Late"	17	188	1	0.54	"excellent"	NA	0.003276174	0.028105824	0.000332862	0.000141255	3.249291393	1.924e-06	0.008053982	0.000404207	1.23974704798311e-08	9.95e-07
"PADE08_013"	"2/6/08"	2008	"RUMFS"	"Late"	18	187	1	0.39	"good"	NA	0.001807571	0.011906828	0.001372864	0.000146463	3.146844047	9.71194304525852e-10	0.012135423	0.000328439	7.19e-07	1.92891078768298e-08
"PADE08_005"	"10/22/08"	2008	"RUMFS"	"Late"	13	130	1	0.63	"good"	NA	0.004225042	0.012669719	9.03486052313121e-07	6.7841e-05	3.131243315	3.58615466114134e-09	0.006157522	0.000487189	4e-07	5.47985165985301e-08
"PADE08_023"	"11/11/08"	2008	"RUMFS"	"Late"	16	124	1	0.38	"excellent"	NA	0.006969297	0.02024263	0.002076865	0.000365122	3.335378608	3.92e-07	0.009628703	0.000297684	1.64706225399859e-08	3.55e-07
"PADE08_021"	"11/11/08"	2008	"RUMFS"	"Late"	17	190	2	0.69	"good"	NA	0.005230247	0.011342238	0.005667415	0.000171407	2.995380939	1.329e-06	0.006713476	0.00030864	2.9e-07	8.8134384714067e-09
"PADE09_001"	"1/28/09"	2009	"RUMFS"	"Late"	17	211	1	0.55	"excellent"	NA	0.001444601	0.006172376	0.002577883	0.000163584	3.026062939	1.324e-06	0.005267543	0.000314226	2.5871710809879e-08	2.33e-07
"PADE09_011"	"1/28/09"	2009	"RUMFS"	"Late"	18	184	1	0.61	"excellent"	NA	0.001376485	0.015303519	0.000296923	0.000213752	3.150980534	1.183e-06	0.007079935	0.000250918	3.55e-07	5.52393095288426e-08
"PADE09_013"	"2/16/09"	2009	"RUMFS"	"Late"	16	146	1	0.52	"excellent"	NA	0.001712365	0.00988425	0.000122467	0.000105149	3.044221124	3.29e-07	0.004603913	0.000248997	2.47e-07	3.7e-07
"PADE09_002"	"2/16/09"	2009	"RUMFS"	"Late"	17	185	1	0.38	"excellent"	NA	0.00147879	0.015743106	0.00269545	0.000218937	3.153700627	2.55e-06	0.006084376	0.000272805	3.48e-07	2.32e-07
"PADE09_012"	"2/16/09"	2009	"RUMFS"	"Late"	17	56	1	0.38	"excellent"	NA	0.003596229	0.008089051	0.000634931	0.001557795	3.323491159	1.67e-06	0.006419778	0.000287285	2.28e-07	2.28e-07
"PADE09_014"	"2/16/09"	2009	"RUMFS"	"Late"	18	145	2	0.71	"excellent"	NA	0.007087604	0.031111018	0.001861889	0.000125686	3.163833042	2.309e-06	0.014035773	0.000224102	5.13e-07	3.83250927831978e-08
"PADE09_025"	"3/4/09"	2009	"RUMFS"	"Late"	18	184	1	0.25	"excellent"	NA	0.004262124	0.017511165	0.000137229	0.000190855	2.982781693	4.684e-06	0.00565937	0.000247251	2.44e-07	2.44e-07
"PADE09_026"	"3/4/09"	2009	"RUMFS"	"Late"	18	200	1	0.61	"good"	NA	0.006154118	0.015056381	2.4155e-05	0.000292873	3.378094342	3.62e-06	0.007349975	0.000256681	2.59e-07	1.99207874340937e-08
"PADE09_004"	"10/21/09"	2009	"RUMFS"	"Late"	13	69	1	0.55	"excellent"	NA	0.002973873	0.007727025	0.002297436	0.000230766	3.138937609	5.269e-06	0.009112531	0.000285878	3.9e-08	2.32e-07
"PADE09_018"	"10/21/09"	2009	"RUMFS"	"Late"	13	173	1	0.6	"good"	NA	0.001961859	0.008850311	7.9142e-05	0.000341278	3.652978419	1.1365e-05	0.009968505	0.000227394	1.26e-07	4.02321618050337e-09
"PADE09_005"	"11/18/09"	2009	"RUMFS"	"Late"	15	201	1	0.57	"excellent"	NA	0.002545884	0.013446703	0.005747382	0.000137492	3.080168572	1.792e-06	0.007827489	0.000283996	5.863943179138e-09	3.08e-07
"PADE09_007"	"11/23/09"	2009	"RUMFS"	"Late"	15	181	1	0.71	"excellent"	NA	0.014959298	0.013062619	1.57622408396145e-06	7.0482e-05	3.578775474	3.448e-06	0.02806817	0.00020252	1.77e-07	3.53e-07
"PADE10_001"	"1/25/10"	2010	"RUMFS"	"Late"	17	183	1	0.58	"excellent"	NA	0.001239749	0.01348367	9.6744e-05	0.000125202	3.277555759	1.439e-06	0.01159889	0.000221801	3.82e-07	1.27e-07
"PADE10_002"	"3/31/10"	2010	"RUMFS"	"Late"	14	106	1	0.41	"excellent"	NA	0.000902076	0.008811995	3.63350652098423e-07	0.000230981	3.623505554	1.246e-06	0.004916463	0.000244625	1.21e-07	1.21e-07
"PADE10_006"	"11/16/10"	2010	"RUMFS"	"Late"	13	178	2	0.74	"good"	NA	0.01029941	0.007174702	0.001890947	0.000227125	2.853587631	2.978e-06	0.015425536	0.000217891	2.63e-07	1.31e-07
"PADE10_005"	"11/16/10"	2010	"RUMFS"	"Late"	15	155	1	0.73	"good"	NA	0.002806818	0.006915561	1.14126770458231e-06	0.000146906	3.105070268	1.71e-06	0.016107729	0.000235555	1.31e-07	1.31e-07
"PADE10_004"	"11/16/10"	2010	"RUMFS"	"Late"	16	180	2	0.74	"good"	NA	0.005314235	0.020345884	0.002801499	0.000116361	3.087903738	3.897e-06	0.012623094	0.000242507	2.82e-07	5.86440850049257e-08
"PADE10_009"	"12/7/10"	2010	"RUMFS"	"Late"	18	181	1	0.64	"excellent"	NA	0.00160748	0.01627356	0.000667273	0.000134906	3.174902406	9.3e-07	0.014812497	0.000212816	1.33e-07	1.33e-07
"PADE11_002"	"10/12/11"	2011	"RUMFS"	"Late"	13	129	1	0.72	"good"	NA	0.002685575	0.006335739	0.002759688	2.79888420704296e-05	2.863381298	2.51262328773737e-09	0.016507262	0.000174433	1.25425025867298e-09	2.82e-07
"PADE11_008"	"11/8/11"	2011	"RUMFS"	"Late"	13	139	2	0.79	"good"	NA	0.0016219	0.006106035	8.16305901025422e-07	2.31114849924797e-05	3.07176926	5.16e-07	0.008832808	0.000317678	5.09203520882875e-09	4.20457175932825e-09
"PADE11_011"	"12/6/11"	2011	"RUMFS"	"Late"	17	211	1	0.77	"excellent"	NA	0.001995734	0.022205256	0.00244379	8.7136391372229e-06	2.274545164	1.622e-06	0.00513166	0.000257	3.47e-07	1.4850129657425e-08
"PADE12_001"	"1/16/12"	2012	"RUMFS"	"Late"	15	218	2	0.58	"excellent"	NA	0.001202079	0.007507339	0.000814142	4.1006e-05	2.993549694	3.228e-06	0.007264366	0.000269148	9.12e-07	1.82e-07
"PADE12_015"	"1/16/12"	2012	"RUMFS"	"Late"	19	227	1	0.31	"excellent"	NA	0.004814775	0.014278287	0.002428719	0.000147241	2.659927258	6.92e-07	0.010303365	0.000175847	2.96e-07	2.96e-07
"PADE12_002"	"2/13/12"	2012	"RUMFS"	"Late"	15	189	1	0.52	"excellent"	NA	0.001288748	0.015270236	0.000751583	0.000100602	4.207429443	2.295e-06	0.01243833	0.000253024	3.84196093669161e-08	7.24e-07
"PADE12_003"	"2/22/12"	2012	"RUMFS"	"Late"	18	189	1	0.64	"excellent"	NA	0.001048907	0.010508701	0.001278416	8.2468e-05	3.397043526	3.23e-07	0.009929695	0.000218415	3.26e-07	3.26e-07
"PADE12_014"	"2/22/12"	2012	"RUMFS"	"Late"	18	117	1	0.36	"excellent"	NA	0.001077301	0.005931515	6.3298374551814e-08	0.573712901	3.488183249	2.467e-06	0.010998579	0.000229691	1.2600657959003e-08	1.54e-07
"PADE12_004"	"3/12/12"	2012	"RUMFS"	"Late"	14	185	1	0.55	"excellent"	NA	0.001373067	0.015246802	0.002456572	0.000114146	3.731883023	3.795e-06	0.009063603	0.000248685	3.73e-07	4.12086921790615e-08
"PADE12_005"	"11/13/12"	2012	"RUMFS"	"Late"	12	160	1	0.38	"excellent"	NA	0.002097466	0.007287529	0.000809882	0.00014736	2.495298534	3.51247011497617e-09	0.004095231	0.00016152	2.53565736212768e-08	9.04777790419757e-10
"PADE12_008"	"12/11/12"	2012	"RUMFS"	"Late"	19	189	1	0.45	"good"	NA	0.003260393	0.004339065	0.00411369	0.000152017	2.631433994	9.54e-07	0.005698215	0.000198538	3.57e-07	6e-08
